company_no,company_id,name,legal_form(if known),website,phone,whatsapp,telegram,vk,email,address,showroom_flag,production_flag,source_url,last_checked_date,search_rank,search_query_first_seen,search_queries_matched,rubrics,org_name,branch_count,rating,review_count,marketplace_links,status
1,3378228001737311,Мария,,http://marya.ru; http://marya.ru/gde-kupit/shop-2583; http://rostov-na-donu.marya.ru; https://ok.ru/mfmarya; https://pinterest.com/mfmarya; https://t.me/mf_marya; https://vk.com/marya; https://youtube.com/user/fabrikamarya,+78001003131; +78632097100,,https://t.me/mf_marya,https://vk.com/marya,,"Красноармейская улица, 140",1,0,https://2gis.ru/rostov-on-don/firm/3378228001737311,2026-02-19,1,кухонные студии,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; кухонные студии; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; шкафы и кухни на заказ,Мебельные магазины; Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Корпусная мебель; Детская мебель; Офисная мебель; Мягкая мебель; Дизайн интерьеров,"Мария, кухонная студия",2,5,151,,ok
2,3378229001922175,Мебельград,,http://xn--90achb4acsaqll0j.xn--p1ai; https://vk.com/tcmebelgrad,+78633114181; +79895114181,,,https://vk.com/tcmebelgrad,uo@santechopt.ru,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/3378229001922175,2026-02-19,1,корпусная мебель,корпусная мебель; кухни массив; кухни недорого; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; модульные кухни; производитель кухонь; шкафы и кухни на заказ; элитные кухни,Мебельные магазины; Корпусная мебель; Мягкая мебель; Мебель для кухни; Детская мебель,"Мебельград, мебельный центр",1,4.7,50,,ok
3,70000001023941444,Мебель в дом,,https://wa.me/79289544211?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79094108907; +79289544211,https://wa.me/79289544211?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"улица Тимошенко, 7",1,0,https://2gis.ru/rostov-on-don/firm/70000001023941444,2026-02-19,1,салон кухонь,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; производство кухонь; салон кухонь; шкафы и кухни на заказ,Мебель на заказ; Мебель для кухни; Корпусная мебель,"Мебель в дом, салон",1,3.7,3,,ok
4,70000001034559323,Альфа,,http://www.alfa-pik.ru,+78632987336; +79185587336,,,,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001034559323,2026-02-19,1,кухонный салон,кухонный салон; салон кухонь,Мебель для кухни; Мебель на заказ,"Альфа, кухонный салон",2,,0,,ok
5,70000001035259621,Лемана Про,,http://lemanapro.ru; http://rostov.lemanapro.ru; http://rostov.lemanapro.ru/; http://t.me/lemanapro; https://vk.com/lemanapro_rnd,+78007000099,,http://t.me/lemanapro,https://vk.com/lemanapro_rnd,,"улица Доватора, 158",1,0,https://2gis.ru/rostov-on-don/firm/70000001035259621,2026-02-19,1,фасады для кухни,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; модульные кухни; производитель кухонь; фасады для кухни; шкафы и кухни на заказ; элитные кухни,"Стройматериалы; Отделочные материалы; Гипсокартон; Лаки и краски; Сухие строительные смеси; Напольные покрытия; Керамическая плитка; Замки и скобяные изделия; Крепёж; ДСП, ДВП, фанера; Цемент; Садовый инвентарь; Сантехника; Светотехника; Электроустановочная продукция; Электроинструмент; Обои; Пило- и лесоматериалы; Бетон и раствор; Автоматические ворота и шлагбаумы; Звукоизоляционные материалы; Заборы и ограждения; Натяжные потолки; Стекло и зеркала; Окна; Комплектующие для дверей; Декоративные отделочные материалы; Входные двери; Комплектующие для окон; Погонажные изделия; Порошковые краски; Герметики и клеи; Керамогранит; Огнезащитные материалы; Товары для отопления, водоснабжения, канализации; Кабель и провод; Электротехника; Деревообрабатывающий инструмент; Измерительный инструмент; Слесарно-монтажный инструмент; Семена и посадочный материал; Садово-парковая мебель; Мебельная фурнитура; Мебель для кухни; Межкомнатные двери; Абразивный инструмент; Малярный инструмент; Металлорежущий инструмент; Новогодние товары; Аксессуары для ванных комнат; Бытовая химия; Вентиляционное, тепловое оборудование; Гидроизоляционные материалы; Грязепоглощающие покрытия; Жалюзи; Интерьерные лестницы; Карнизы; Керамические изделия; Кирпич; Кованые изделия; Кондиционеры; Корпусная мебель; Котельное оборудование; Кровельные материалы; ЛДСП, ДВПО, МДФ; Мебель для ванных комнат; Мебельные фасады; Металлическая мебель; Мягкая мебель; Насосное оборудование; Облицовочные материалы для мебели; Облицовочный камень; Огнеупорные материалы; Одноразовая посуда; Оргстекло и поликарбонат; Офисная мебель; Очистители воздуха; Песок и щебень; Печи и камины для помещений; Пластиковая тара; Подвесы и освещение картин; Подвесные потолки; Портьерные ткани и шторы; Декоративные аквасистемы; Тёплые полы; Светопрозрачные конструкции; Сельхозтехника; Системы водоотведения; Перегородки; Стеллажи и витрины; Стеновые панели; Строительное оборудование; Строительные блоки; Строительные гипермаркеты; Теплоизоляционные материалы; Сэндвич-панели; Торгово-выставочное оборудование; Тротуарная плитка; Фасадные материалы и конструкции; Хозтовары; Электроизоляционные материалы; Электронагревательное оборудование","Лемана Про, гипермаркет строительных материалов",5,4.4,488,,ok
6,70000001056990576,Мебельный хит,,http://kuhnihit.ru/; https://vk.com/mebhitrostov; https://wa.me/79185953407?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78633335420,https://wa.me/79185953407?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://vk.com/mebhitrostov,,"1-я Пролетарская улица, 4/34",1,1,https://2gis.ru/rostov-on-don/firm/70000001056990576,2026-02-19,1,фабрика кухонь,фабрика кухонь,Мебельные магазины; Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат,"Мебельный хит, фабрика кухонь",1,,0,,ok
7,70000001057312480,Gray Cardinal,,http://t.me/graycardinal_mebel; http://www.gray-cardinal.ru; https://vk.com/graycardinal.mebel; https://youtube.com/channel/UCqxAWIlSalI4mxa_pErZDug,+78005502556,,http://t.me/graycardinal_mebel,https://vk.com/graycardinal.mebel,,"Пойменная улица, 1ж",1,0,https://2gis.ru/rostov-on-don/firm/70000001057312480,2026-02-19,1,элитные кухни,элитные кухни,Мягкая мебель; Корпусная мебель; Мебель на заказ,"Gray Cardinal, салон-магазин",2,,0,,ok
8,70000001066301922,АМК-Троя,,http://rostov.amk-troya.com; https://t.me/darina_troya_ldsp_rnd,+79001270001,,https://t.me/darina_troya_ldsp_rnd,,,"улица Вавилова, 60 к4",1,0,https://2gis.ru/rostov-on-don/firm/70000001066301922,2026-02-19,1,производство кухонь,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; производство кухонь; фасады для кухни; шкафы и кухни на заказ,"ЛДСП, ДВПО, МДФ; Облицовочные материалы для мебели; Мебель для кухни; ДСП, ДВП, фанера; Корпусная мебель; Мебель на заказ; Мебельные фасады; Детская мебель; Мебель для ванных комнат; Офисная мебель","АМК-Троя, оптово-розничная компания",3,5,4,,ok
9,70000001104270498,Premium Service Mebel,,http://premiumservicemebel.2gis.biz; http://t.me/furniturernd; https://wa.me/79034469331?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79034469331,https://wa.me/79034469331?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/furniturernd,,,"2-я Краснодарская улица, 112 лит Б",1,0,https://2gis.ru/rostov-on-don/firm/70000001104270498,2026-02-19,1,мебель для кухни,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни премиум; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; шкафы и кухни на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни,Premium Service Mebel,1,5,5,,ok
10,70000001110230098,Астрея М,,http://astrea-m.ru; http://taplink.io/id:011071558:dd3e; https://vk.com/astreyam,+79381023333,,,https://vk.com/astreyam,,"Михаила Нагибина проспект, 30л",1,1,https://2gis.ru/rostov-on-don/firm/70000001110230098,2026-02-19,1,дизайнерские кухни,дизайнерские кухни; изготовление кухонь; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; фабрика кухонь; шкафы и кухни на заказ,Мебель для кухни; Корпусная мебель; Мебель на заказ; Офисная мебель; Мебельные магазины,"Астрея М, фабрика дизайнерской мебели",2,,0,,ok
